Time,pH4.5_1,pH4.5_2,pH4.5_3,pH5_1,pH5_2,pH5_3,pH5.5_1,pH5.5_2,pH5.5_3,pH6_1,pH6_2,pH6_3,pH6.5_1,pH6.5_2,pH6.5_3
0,0.1376 ,0.1401 ,0.1401 ,0.1989 ,0.2001 ,0.2011 ,0.1924 ,0.1823 ,0.2019 ,0.1906 ,0.1902 ,0.1934 ,0.1912,0.1989,0.1971
1,0.1503 ,0.1483 ,0.1432 ,0.2358 ,0.2377 ,0.2338 ,0.2933 ,0.2821 ,0.2944 ,0.2291 ,0.2342 ,0.2360 ,0.2165 ,0.2143 ,0.2157 
2,0.1615 ,0.1639 ,0.1649 ,0.2952 ,0.3014 ,0.2979 ,0.3586 ,0.3646 ,0.3663 ,0.3309 ,0.3372 ,0.3374 ,0.2813 ,0.2866 ,0.2960 
3,0.1635 ,0.1671 ,0.1667 ,0.3514 ,0.3510 ,0.3596 ,0.4982 ,0.5034 ,0.5219 ,0.4872 ,0.4892 ,0.5143 ,0.4217 ,0.4287 ,0.4099 
4,0.1889 ,0.1892 ,0.1945 ,0.5367 ,0.5428 ,0.5553 ,0.6825 ,0.7156 ,0.7208 ,0.8749 ,0.9222 ,0.8599 ,0.7709 ,0.7858 ,0.7969 
5,0.2254 ,0.2339 ,0.2341 ,0.7956 ,0.8205 ,0.8300 ,1.0163 ,0.9382 ,0.9925 ,1.3326 ,1.3466 ,1.3343 ,1.1030 ,1.1220 ,1.1197 
6,0.2521 ,0.2520 ,0.2460 ,1.0028 ,1.0072 ,1.0329 ,1.2664 ,1.3472 ,1.3622 ,1.5865 ,1.6161 ,1.6224 ,1.4722 ,1.4800 ,1.4851 
7,0.2903 ,0.2907 ,0.2932 ,1.2746 ,1.2740 ,1.2885 ,1.5124 ,1.6092 ,1.6241 ,1.8719 ,1.8750 ,1.8734 ,1.6971 ,1.7090 ,1.7186 
8,0.3353 ,0.3379 ,0.3407 ,1.3195 ,1.3930 ,1.3433 ,1.8608 ,1.8677 ,1.8730 ,1.8986 ,1.9071 ,1.9234 ,1.8313 ,1.8602 ,1.8548 
9,0.3820 ,0.3788 ,0.3725 ,1.4988 ,1.5166 ,1.5306 ,1.9786 ,2.0076 ,2.0028 ,1.8313 ,1.8446 ,1.8601 ,1.7913 ,1.8458 ,1.8379 
10,0.4947 ,0.5015 ,0.5043 ,1.6152 ,1.6127 ,1.6569 ,1.9976 ,2.0227 ,2.0384 ,1.8472 ,1.8474 ,1.8222 ,1.8389 ,1.8328 ,1.8497 
11,0.5821 ,0.5759 ,0.6087 ,1.7669 ,1.8231 ,1.7570 ,1.9921 ,2.0283 ,2.0333 ,1.7671 ,1.7793 ,1.7779 ,1.7738 ,1.7410 ,1.8065 
12,0.5539 ,0.5851 ,0.5832 ,1.7369 ,1.7482 ,1.7672 ,1.8642 ,1.8477 ,1.8883 ,1.8113 ,1.7961 ,1.7957 ,1.7749 ,1.7842 ,1.8106 
13,0.5481 ,0.5462 ,0.5775 ,1.7298 ,1.7008 ,1.7129 ,1.8188 ,1.8021 ,1.7943 ,1.7932 ,1.7666 ,1.7763 ,1.7686 ,1.7533 ,1.7723 
14,0.6383 ,0.6262 ,0.6231 ,1.6450 ,1.6358 ,1.6740 ,1.7493 ,1.7900 ,1.8580 ,1.7306 ,1.7137 ,1.7165 ,1.6696 ,1.7028 ,1.7102 
15,0.7616 ,0.7622 ,0.7644 ,1.6902 ,1.7062 ,1.7024 ,1.8339 ,1.8493 ,1.8497 ,1.6812 ,1.6564 ,1.6666 ,1.6097 ,1.5965 ,1.6789 
16,0.8460 ,0.8333 ,0.8010 ,1.6646 ,1.6589 ,1.6708 ,1.8287 ,1.8233 ,1.8198 ,1.6688 ,1.6799 ,1.6812 ,1.6876 ,1.6742 ,1.6523 
17,1.0093 ,1.0505 ,1.0627 ,1.6300 ,1.6284 ,1.6601 ,1.8219 ,1.8111 ,1.8153 ,1.7078 ,1.7222 ,1.7408 ,1.7300 ,1.7284 ,1.7406 
18,1.1174 ,1.0969 ,1.1539 ,1.5734 ,1.6080 ,1.6112 ,1.8038 ,1.8109 ,1.8032 ,1.7229 ,1.7142 ,1.7157 ,1.6583 ,1.6700 ,1.6854 
19,1.2587 ,1.2548 ,1.2509 ,1.5588 ,1.5691 ,1.5823 ,1.7945 ,1.7832 ,1.7856 ,1.7086 ,1.6853 ,1.6628 ,1.7270 ,1.7438 ,1.7522 
20,1.3049 ,1.3188 ,1.3289 ,1.4858 ,1.5415 ,1.5416 ,1.7656 ,1.6899 ,1.7621 ,1.6343 ,1.6731 ,1.6359 ,1.6233 ,1.6101 ,1.6582 
21,1.3509 ,1.3728 ,1.3800 ,1.4913 ,1.4976 ,1.5126 ,1.7289 ,1.7489 ,1.6654 ,1.6988 ,1.7017 ,1.7032 ,1.5839 ,1.6610 ,1.6180 
22,1.3467 ,1.3960 ,1.4800 ,1.4649 ,1.4766 ,1.4324 ,1.7189 ,1.6455 ,1.7061 ,1.6096 ,1.6556 ,1.6717 ,1.6641 ,1.6559 ,1.6633 
23,1.4694 ,1.4850 ,1.4993 ,1.3980 ,1.4363 ,1.3543 ,1.6790 ,1.6938 ,1.6686 ,1.6783 ,1.6363 ,1.6529 ,1.5748 ,1.6124 ,1.5242 
24,1.4943 ,1.5133 ,1.5301 ,1.3920 ,1.3993 ,1.3933 ,1.5983 ,1.6521 ,1.6499 ,1.6372 ,1.6499 ,1.5819 ,1.6128 ,1.5956 ,1.5943 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
